name,rank,score,dragonkin_score,rune,equipment,flamen,artifacts,essentials
javik,1,85,56,100,90,94,78,96
tor,2,83,46,100,91,84,59,95
narjhan,3,82,48,100,88,86,91,89
phoenix storm,4,79,51,100,82,84,69,91
bandito,5,78,42,96,86,94,55,87
war hammer,6,77,32,100,87,84,78,86
inferno,7,77,34,100,85,89,61,88
morphy,8,76,40,100,79,84,63,91
jdubz,9,74,25,100,84,84,50,86
cobra,10,70,12,100,77,81,56,93
mugiwara,11,68,23,75,81,76,43,82
hulk,12,67,18,75,79,68,63,84
tyrion,13,64,12,75,81,71,0,82
klaw 召喚者,14,64,13,63,79,65,48,81
mc ballerman,15,62,11,75,74,72,36,79
julia,16,60,21,59,74,52,0,77
agent 47,17,60,5,75,71,52,48,83
faro,18,59,6,63,77,42,13,79
mugi,19,59,31,75,68,0,0,80
meed,20,59,11,75,77,0,30,76
casper,21,58,6,75,74,60,26,71
sever,22,58,13,75,73,68,23,63
saaib,23,58,16,75,70,0,0,83
teto,24,56,6,59,74,38,0,78
tirania,25,56,5,75,71,60,24,68
tony,26,56,5,72,72,48,40,68
sneijder,27,55,11,69,62,54,29,76
ally,28,54,0,56,73,49,21,68
jason,29,53,0,56,67,41,29,77
annanas,30,53,0,52,72,35,0,74
laitu,31,52,0,56,71,40,16,69
stanà,32,52,0,63,73,52,25,59
djinx,33,52,5,66,60,42,0,81
igor,34,51,0,56,65,29,27,74
aaron,35,51,11,75,57,0,0,82
black panther,36,48,0,66,72,42,20,45
panda,37,47,0,50,61,32,12,69
zangief,38,46,0,50,66,14,11,57
zey my name,39,44,0,25,53,50,37,72
dannyboyblue ,40,43,0,56,64,0,0,54
valk,41,43,5,50,39,69,0,77
berkim,42,42,0,56,56,0,0,62
ayla,43,42,0,44,59,36,14,51
bernardo,44,42,0,52,49,0,0,74
balkan boy,45,41,0,44,57,0,0,62
black mamba,46,41,0,44,51,0,0,70
super mario,47,36,0,44,38,0,0,71
chong,48,35,0,52,48,0,0,48
nille,49,35,0,56,44,0,0,51
benjirye,50,34,0,44,39,35,0,52
davedanieldiane,51,34,5,30,45,11,3,48
pickles,52,34,0,44,42,0,0,54
dubai,53,33,0,44,38,68,0,45
soulmate,54,33,0,44,37,29,0,52
agent 47 alt,55,32,0,44,37,0,0,57
dabzi,56,32,0,56,41,0,0,44
mizo,57,28,0,15,39,0,0,49
cheech,58,22,0,25,41,0,0,13
sookie,59,15,0,52,0,23,11,39
pyro,60,15,0,9,28,0,0,13
,61,0,0,0,0,0,0,0
,62,0,0,0,0,0,0,0
,63,0,0,0,0,0,0,0
,64,0,0,0,0,0,0,0
,65,0,0,0,0,0,0,0
,66,0,0,0,0,0,0,0
